년도	학기	조직	개설학과(전공)	강좌코드	과목코드	과목명	이수학년	이수구분	분반	학점	수강인원	시간표	강의실	강사명	직급	시수	소속학과	수업구분	수강가능인원	권장학부
2018	2학기	대학	기계공학전공	80810012601	00126	기계재료	2	전필	01	3		수1,2,3	N117-0	장성국	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810012701	00127	기계진동학	3	전선	01	3		목3,금1,2	N132-1	홍성철	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810015001	00150	내연기관	3	전선	01	3		월2,3,화8	N217-0	유성출	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810015002	00150	내연기관	3	전선	02	3		목6,금5,6	N217-0	유성출	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810016501	00165	대학수학(1)	1	기선	01	3		화1,2,3	C301-0	심선희	시간강사	3	교양과정부	이론	0	
2018	2학기	대학	기계공학전공	80810016601	00166	대학수학(2)	1	기선	01	3		월5,6,목6	C605-0	최두일	부교수	3	교양과정부	이론	0	
2018	2학기	대학	기계공학전공	80810016602	00166	대학수학(2)	1	기선	02	3		화1,2,수4	C605-0	최두일	부교수	3	교양과정부	이론	0	
2018	2학기	대학	기계공학전공	80810016603	00166	대학수학(2)	1	기선	03	3		화3,4,목7	C605-0	최두일	부교수	3	교양과정부	이론	0	
2018	2학기	대학	기계공학전공	80810016604	00166	대학수학(2)	1	기선	04	3		월7,8,수3	C605-0	최두일	부교수	3	교양과정부	이론	0	
2018	2학기	대학	기계공학전공	80810016605	00166	대학수학(2)	1	기선	05	3		금1,2,3	C301-0	심선희	시간강사	3	교양과정부	이론	0	
2018	2학기	대학	기계공학전공	80810019701	00197	마이크로프로세서	3	전선	01	2		월6,7,8	N229-0	홍성철	교수	3	기계자동차공학부	복합	0	
2018	2학기	대학	기계공학전공	80810027301	00273	생산공학	4	전선	01	3	18	화3,수1,2	N125-0	이항수	교수	3	기계자동차공학부	이론	35	
2018	2학기	대학	기계공학전공	80810031501	00315	수치해석	3	기선	01	3		목5,6,7	N224-0	허덕재	겸임교수	3	기계자동차공학부	복합	0	
2018	2학기	대학	기계공학전공	80810040601	00406	일반물리학(2)	1	기필	01	3		월7,8,화3	N117-0	강신한	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810040602	00406	일반물리학(2)	1	기필	02	3		화3,수2,3	N217-0	심이레	조교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810040603	00406	일반물리학(2)	1	기필	03	3		화2,수7,8	N217-0	심이레	조교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810040604	00406	일반물리학(2)	1	기필	04	3		월5,6,화5	N117-0	강신한	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810040801	00408	일반물리학실험(2)	1	기필	01	2		목7,8	L204-0	심이레	조교수	2	기계자동차공학부	실험실습	0	
2018	2학기	대학	기계공학전공	80810040802	00408	일반물리학실험(2)	1	기필	02	2		금1,2	L204-0	강재필	시간강사	2	기계자동차공학부	실험실습	0	
2018	2학기	대학	기계공학전공	80810040803	00408	일반물리학실험(2)	1	기필	03	2		금3,4	L204-0	강재필	시간강사	2	기계자동차공학부	실험실습	0	
2018	2학기	대학	기계공학전공	80810040804	00408	일반물리학실험(2)	1	기필	04	2		수1,2	L204-0	엄정식	겸임교수	2	기계자동차공학부	실험실습	0	
2018	2학기	대학	기계공학전공	80810040805	00408	일반물리학실험(2)	1	기필	05	2		금5,6	L204-0	강재필	시간강사	2	기계자동차공학부	실험실습	0	
2018	2학기	대학	기계공학전공	80810048101	00481	제어공학	3	전선	01	3		수1,2,3	N224-0	조장현	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810064101	00641	공업수학(2)	2	기필	01	3		월6,수7,8	N118-0	박준상	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810064201	00642	메카니즘설계	2	전필	01	3		월5,화5,6	N127-0	조장현	교수	3	기계자동차공학부	이론	0	
2018	2학기	대학	기계공학전공	80810135401	01354	공학기초실습	2	전필	01	2		화1,2,3	N132-1	엄정식	겸임교수	3	기계자동차공학부	실험실습	0	
2018	2학기	대학	기계공학전공	80810135402	01354	공학기초실습	2	전필	02	2		화7,8,9	N132-1	임태수	겸임교수	3	기계자동차공학부	실험실습	0	
