학과	지정과목명	이수구분	학점
경영학과	기업과조직	전필	3
경영학과	경제학원론	전필	3
경영학과	경영학원론	전필	3
경영학과	회계원리	전필	3
관광경영학과	관광학원론	전필	3
관광경영학과	외식사업론	전필	3
관광경영학과	관광자원론	전필	3
관광경영학과	호텔경영론	전필	3
무역통상학과	전자무역실무	전필	3
무역통상학과	국제무역	전필	3
무역통상학과	국제경영론	전필	3
무역통상학과	무역정보처리론	전필	3
무역통상학과	국제마케팅	전필	3
무역통상학과	국제통상법	전필	3
광고영상미디어학과	촬영기초	전필	3
광고영상미디어학과	PR캠페인	전필	3
광고영상미디어학과	문화산업론	전필	3
광고영상미디어학과	크리에이티브발상법	전필	3
경찰행정학과	경찰학1	전필	3				
경찰행정학과	형법총론	전필	3
경찰행정학과	경찰수사론1	전필	3
경찰행정학과	경찰행정영어(2)	전필	3
토목공학과	측량학및실습(2)	전필	3
토목공학과	토목구조역학(2)	전필	3
토목공학과	철근콘크리트공학(2)	전필	3
토목공학과	수리학(2)	전필	3
토목공학과	환경공학(2)	전필	3
토목공학과	토질역학(2)	전필	3
산업경영공학과	경영공학	전필	3
산업경영공학과	OR(operationReserch)	전필	3
산업경영공학과	현대통계학	전필	3
산업경영공학과	품질관리	전필	3
산업경영공학과	생산관리	전필	3
산업경영공학과	생산시스템공학	전필	3
산업경영공학과	경영전략	전필	3
컴퓨터응용설계학과	비주얼프로그래밍	전필	3
컴퓨터응용설계학과	유체기계해석(1)	전필	3
컴퓨터응용설계학과	열유동(1)	전필	3
컴퓨터응용설계학과	비주얼프로그래밍응용	전필	3
컴퓨터응용설계학과	첨단시스템공학	전필	3
컴퓨터응용설계학과	전산동역학해석(1)	전필	3
전기전자공학과	회로이론(1)	전필	3
전기전자공학과	전기전자실험(2)	전필	3
전기전자공학과	전기자기학(1)	전필	3
전기전자공학과	캡스톤디자인(1)	전필	3
전기전자공학과	전자회로(1)	전필	3
전기전자공학과	전자기기(1)	전선	3
전기전자공학과	디지털회로(1)	전필	3
컴퓨터공학과	비주얼프로그래밍(1)	전필	3
컴퓨터공학과	자료구조	전필	3
컴퓨터공학과	데이터베이스	전필	3
컴퓨터공학과	컴퓨터네트워크	전필	3
컴퓨터공학과	임베디드시스템	전필	3
컴퓨터공학과	네트워크프로그래밍	전필	3
컴퓨터공학과	정보보호이론	전필	3
정보통신방송공학과	컴퓨터네트워크	전필	3
정보통신방송공학과	자료구조	전필	3
정보통신방송공학과	고급프로그래밍(1)	전선	3
정보통신방송공학과	컴퓨터구조	전필	3
정보통신방송공학과	테이터베이스	전필	3
정보통신방송공학과	TCP/IP	전선	3
정보통신방송공학과	모바일프로그래밍	전선	3

	


